id,title,tags
1168190,The Wrecking Crew,estranged halfbrothers jonny james reunite fathers mysterious death search truth buried secrets reveal conspiracy threatening tear family apart action comedy crime unitedstatesofamerica canada davebautista jasonmomoa temueramorrison morenabaccarin reunion helicopterchase brotherbrotherrelationship lossoffather
840464,Greenland 2: Migration,found safety greenland bunker comet clarke decimated earth garrity family must risk everything embark perilous journey across wasteland europe find new home adventure thriller science fiction unitedkingdom unitedstatesofamerica gerardbutler morenabaccarin romangriffindavis tommieearljenkins naturaldisaster shelter survival disaster frantic
1084242,Zootopia 2,cracking biggest case zootopias history rookie cops judy hopps nick wilde find twisting trail great mystery gary desnake arrives turns animal metropolis upside crack case judy nick must go undercover unexpected new parts town growing partnership tested like never animation comedy adventure family mystery unitedstatesofamerica canada ginnifergoodwin jasonbateman kehuyquan fortunefeimster snake bunny fox cop sequel anthropomorphism animals displacement buddycop buddycomedy complex playful talkinganimal 3danimation embarrassed excited
1419406,The Shadow's Edge,macau police brings tracking expert police officer retirement help catch dangerous group professional thieves action crime drama thriller china hongkong jackiechan zhangzifeng tonyleungkafai cisha excited
1368166,The Housemaid,trying escape past millie calloway accepts job livein housemaid wealthy nina andrew winchester begins dream job quickly unravels something far dangerous—a sexy seductive game secrets scandal power mystery thriller unitedstatesofamerica sydneysweeney amandaseyfried brandonsklenar michelemorrone basedonnovelorbook psychologicalthriller housekeeper attic housemaid adaptation mystery suspensethriller intense
1601243,Oscar Shaw,retiring police force relentless detective haunted tragic loss closest friend sets perilous quest vengeance seeking redemption fighting restore justice streets swore protect action crime thriller michaeljaiwhite tyresegibson isaiahwashington andrewcenglishjr
1271895,96 Minutes,former bomb disposal expert song kangren fiancée huang xin board highspeed train contains bomb time liu kai wellknown physics teacher involved affair scandal also boards train order win back wife ting juan took prior highspeed rail return home frustration… bomb successfully defused time resolve crisis action crime romance taiwan austinlin viviansung edisonwang leeleezen
1310568,Murder at the Embassy,1934 private detective miranda green investigates murder perpetrated british embassy cairo top secret document stolen risking jeopardize buckingham palace peace world present closed place suspected american photographer english student american actress egyptian security guard ambassador interpreter egyptian gardener — ambassador would expected small group nazis would behind plot risking jeopardize buckingham palace peace world mystery thriller action unitedkingdom unitedstatesofamerica mischabarton richarddillane midohamada antoniabernath whodunit usembassy murdermystery
1234731,Anaconda,group friends facing midlife crises head rainforest intention remaking favorite movie youth find fight lives natural disasters giant snakes violent criminals adventure comedy horror unitedstatesofamerica jackblack paulrudd stevezahn thandiwenewton snake animalattack amazonrainforest filminfilm jungle reptile anaconda reboot animalhorror meta hilarious amused awestruck bold
1584215,The Internship,ciatrained assassin recruits graduates secret childhood program internship violently destroy organization cia fights back deadly force action unitedstatesofamerica lizzygreene meganboone skykatz philipwinchester
83533,Avatar: Fire and Ash,wake devastating war rda loss eldest son jake sully neytiri face new threat pandora ash people violent powerhungry navi tribe led ruthless varang jakes family must fight survival future pandora conflict pushes emotional physical limits science fiction adventure fantasy unitedstatesofamerica samworthington zoesaldaña sigourneyweaver stephenlang witch clone spacewar tribe sequel alien transhumanism family spaceadventure angry familydynamics rival amused disheartening
1242898,Predator: Badlands,cast clan young predator finds unlikely ally damaged android embarks treacherous journey search ultimate adversary action science fiction adventure unitedstatesofamerica ellefanning dimitriusschusterkoloamatangi ravinarayan michaelhomick survival outcast alienplanet teamup excited
1306368,The Rip,trust frays team miami cops discovers millions cash inside rundown stash house calling everyone — everything — question action thriller crime unitedstatesofamerica mattdamon benaffleck stevenyeun teyanataylor miamiflorida police investigation shootout dirtycop trust attic stingoperation angry cartel hiddenmoney anxious fbiagent drugmoney violence
1167307,David,songs mother’s heart whispers faithful god david’s story begins quiet devotion giant goliath rises terrorize nation young shepherd armed sling stones unshakable faith steps forward pursued power driven purpose journey tests limits loyalty love courage—culminating battle crown soul kingdom animation family drama unitedstatesofamerica southafrica brandonengman brianstivale shahartaboch aarontavaler bible musical prophet davidvsgoliath independentfilm bibleprophecy biblicalepic
755898,War of the Worlds,radford top analyst homeland security tracks potential threats mass surveillance program one day attack unknown entity leads question whether government hiding something rest world science fiction thriller unitedstatesofamerica icecube evalongoria clarkgregg imanbenson government attack privacy surveillance cybersecurity district onlineprivacy screenlife war depressed derisive
1198994,Send Help,two colleagues become stranded deserted island survivors plane crash island must overcome past grievances work together survive ultimately battle wills wits make alive horror thriller comedy unitedstatesofamerica rachelmcadams dylanobrien edyllismail dennishaysbert bullying rolereversal survival struggleforsurvival survivalhorror desertedisland powerstruggle colleagues bullyingintheworkplace planecrash genderinequality comedythriller comedyhorror
1290821,Shelter,man living selfimposed exile remote island rescues young girl violent storm setting chain events forces seclusion protect enemies tied past action crime thriller unitedstatesofamerica unitedkingdom jasonstatham bodhiraebreathnach michaelshaeffer annacrilly ghostsofthepast solitarylife
1043197,Dust Bunny,tenyearold aurora asks hitman neighbor kill monster bed claims ate family protect must battle onslaught assassins accepting monsters real action fantasy thriller unitedstatesofamerica canada hungary madsmikkelsen sophiesloan sigourneyweaver daviddastmalchian murdermystery monsterunderthebed
1454741,The Confession,woman finds late father’s tape confessing murder tied evil force—now son shows darkness must fight stop horror unitedstatesofamerica italiaricci scottmechlowicz zacharygolinger terencerosemore grave hauntedhouse possession tragic possessedchild
1116201,Iron Lung,stars gone planets disappeared individuals aboard space stations starships left give end name quiet rapture decades decay crumbling infrastructure consolidation iron made discovery barren moon designated at5 ocean blood hoping discover desperately needed resources immediately launch expedition submarine crafted convict welded inside due pressure depth ocean forward viewport encased metal successful earn freedom another follow 13th expedition horror science fiction unitedstatesofamerica markfischbach carolinekaplan troybaker elsielovelock future moon submarine expedition postapocalypticfuture hallucination gore space underwater convict basedonvideogame trenches cosmichorror seacreature claustrophobic indiehorror slowburn independentfilm mysteriousdisappearance bodyhorror blood desolateplanet hallucinations eldritch planets awestruck mysteriouscaves postapocalyptic
991494,The SpongeBob Movie: Search for SquarePants,desperate big guy spongebob sets prove bravery mr krabs following flying dutchman – mysterious swashbuckling ghost pirate – seafaring adventure takes deepest depths deep sea sponge gone animation family comedy adventure fantasy unitedstatesofamerica tomkenny clancybrown rodgerbumpass billfagerbakke basedoncartoon pirate basedontvseries casual underworld adoring amused cheerful familiar
1326878,Strangers,seeking revenge abusive husband womans life takes dark turn meets mysterious hitman drawn whirlwind romance spirals dangerous vigilante spree body count rises begins unravel true nature partner secrets conceal action thriller crime unitedstatesofamerica siennaguillory jonvoight jamiebamber emmettscanlan
1242501,Icefall,young indigenous game warden arrests infamous poacher discover poacher knows location plane carrying millions dollars crashed frozen lake group criminals dirty cops alerted poacher’s whereabouts warden poacher team fight back escape across treacherous lake ice melts action crime thriller unitedstatesofamerica joelkinnaman carajademyers dannyhuston grahamgreene dreary demeaning
801937,"Silent Night, Deadly Night",witnessing parents brutal murder christmas eve billy transforms killer santa delivering yearly spree calculated chilling violence year bloodsoaked mission collides love young woman challenges confront darkness horror thriller unitedstatesofamerica canada france rohancampbell rubymodine markacheson davidlawrencebrown holiday trauma romance remake slasher axemurder deathofparent deadparents detached christmas festive lovestory innervoice vindictive horror holidayhorror santa chainsawkill shotgunmurder
1291608,Dhurandhar,early 2000s indian undercover operative infiltrates karachi’s underworld breaking inner circle dismantle violent nexus within action thriller india ranveersingh akshayekhanna rmadhavan arjunrampal asia patriotism nationalism controversy gore pakistan torture terrorism india terroristattack gunviolence bloodshed politicalcorruption 1990s spythriller indian racialdiscrimination 2000s serious thriller intense action chasescene cruel excited
1475490,The Calling Witch,brother sister terrorized seems lateauthor mothers sinister literary creation calling witch thriller horror drama danikagolombek graysoneddey nathaliesöderqvist marcusdeanda cabininthewoods supernaturalbeing cursedwitch
858024,Hamnet,powerful story love loss inspired creation shakespeares timeless masterpiece hamlet drama romance history unitedkingdom unitedstatesofamerica jessiebuckley paulmescal emilywatson joealwyn basedonnovelorbook grief historicalfiction deathinfamily deathofson womandirector 16thcentury tense
7451,xXx,xander cage standard adrenaline junkie fear lousy attitude us government recruits go mission hes exactly thrilled mission gather information organization may planning destruction world led nihilistic yorgi action adventure thriller crime drama unitedstatesofamerica vindiesel asiaargento martoncsokas samuelljackson mission biologicalweapon sportscar coldwar pragueczechrepublic nsaagent adrenalinejunkie thrillseeker
1412598,Killer Whale,follows best friends maddie trish find trapped remote lagoon dangerous killer whale named ceto thriller horror action mystery science fiction australia unitedstatesofamerica unitedkingdom virginiagardner meljarnson mitchellhope isaaccrawley biting survivalhorror killerwhale orca aquatichorror absurd strandedatsea
1252037,The Tank,german tiger tank crew sent dangerous mission rescue missing officer paul von hardenburg topsecret bunker behind enemy lines make way lethal nomans land must confront enemy also fears inner demons fueled wehrmachts methamphetamine mission increasingly becomes journey heart darkness war action drama germany laurencerupp davidschütter sebastianurzendowsky leonardkunz worldwarii tank antiwar 1940s gloomy easternfront meth
425274,Now You See Me: Now You Don't,original four horsemen reunite new generation illusionists take powerful diamond heiress veronika vanderberg leads criminal empire built money laundering trafficking new old magicians must overcome differences work together ambitious heist yet thriller crime mystery unitedstatesofamerica jesseeisenberg dominicsessa arianagreenblatt justicesmith diamond antwerp sequel heist diamondheist illusionist teamup
