id,title,tags
1168190,The Wrecking Crew,"Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart. Action Comedy Crime UnitedStatesofAmerica Canada DaveBautista JasonMomoa TemueraMorrison MorenaBaccarin reunion helicopterchase brotherbrotherrelationship lossoffather"
840464,Greenland 2: Migration,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home. Adventure Thriller Science Fiction UnitedKingdom UnitedStatesofAmerica GerardButler MorenaBaccarin RomanGriffinDavis TommieEarlJenkins naturaldisaster shelter survival disaster frantic"
1084242,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before. Animation Comedy Adventure Family Mystery UnitedStatesofAmerica Canada GinniferGoodwin JasonBateman KeHuyQuan FortuneFeimster snake bunny fox cop sequel anthropomorphism animals displacement buddycop buddycomedy complex playful talkinganimal 3danimation embarrassed excited"
1419406,The Shadow's Edge,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves. Action Crime Drama Thriller China HongKong JackieChan ZhangZifeng TonyLeungKa-fai CiSha excited
1368166,The Housemaid,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power. Mystery Thriller UnitedStatesofAmerica SydneySweeney AmandaSeyfried BrandonSklenar MicheleMorrone basedonnovelorbook psychologicalthriller housekeeper attic housemaid adaptation mystery suspensethriller intense"
1601243,Oscar Shaw,"After retiring from the police force, a relentless detective haunted by the tragic loss of his closest friend sets out on a perilous quest for vengeance, seeking redemption and fighting to restore justice to the streets he once swore to protect. Action Crime Thriller MichaelJaiWhite TyreseGibson IsaiahWashington AndrewC.EnglishJr."
1271895,96 Minutes,"Former bomb disposal expert, Song Kang-Ren, and his fiancée, Huang Xin, board a high-speed train that contains a bomb. At the same time, Liu Kai, a well-known physics teacher who was involved in an affair scandal, also boards this same train in order to win back his wife, Ting Juan, who took the prior high-speed rail to return home in frustration… After all, can the bomb be successfully defused this time? and resolve the crisis? Action Crime Romance Taiwan AustinLin VivianSung EdisonWang LeeLee-Zen"
1310568,Murder at the Embassy,"1934. Private detective Miranda Green investigates a murder perpetrated in the British Embassy in Cairo, where a top secret document was stolen, risking to jeopardize both Buckingham Palace and the peace of the world. All those present in this closed place are suspected: the American photographer, the English student, the American actress, the Egyptian security guard, the ambassador interpreter, the Egyptian gardener and - why not? — the Ambassador himself. But who would have expected that a small group of Nazis would be behind a plot, risking to jeopardize both Buckingham Palace and the peace of the world? Mystery Thriller Action UnitedKingdom UnitedStatesofAmerica MischaBarton RichardDillane MidoHamada AntoniaBernath whodunit u.s.embassy murdermystery"
1234731,Anaconda,"A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals. Adventure Comedy Horror UnitedStatesofAmerica JackBlack PaulRudd SteveZahn ThandiweNewton snake animalattack amazonrainforest filminfilm jungle reptile anaconda reboot animalhorror meta hilarious amused awestruck bold"
1584215,The Internship,"A CIA-trained assassin recruits other graduates from her secret childhood program, The Internship, to violently destroy the organization. The CIA fights back with deadly force. Action UnitedStatesofAmerica LizzyGreene MeganBoone SkyKatz PhilipWinchester"
