genre_ids,id,original_language,overview,release_date,title
"['Action', 'Comedy', 'Crime']",1168190,en,"['Estranged', 'half-brothers', 'Jonny', 'and', 'James', 'reunite', 'after', 'their', ""father's"", 'mysterious', 'death.', 'As', 'they', 'search', 'for', 'the', 'truth,', 'buried', 'secrets', 'reveal', 'a', 'conspiracy', 'threatening', 'to', 'tear', 'their', 'family', 'apart.']",2026-01-28,The Wrecking Crew
"['Adventure', 'Thriller', 'Science Fiction']",840464,en,"['Having', 'found', 'the', 'safety', 'of', 'the', 'Greenland', 'bunker', 'after', 'the', 'comet', 'Clarke', 'decimated', 'the', 'Earth,', 'the', 'Garrity', 'family', 'must', 'now', 'risk', 'everything', 'to', 'embark', 'on', 'a', 'perilous', 'journey', 'across', 'the', 'wasteland', 'of', 'Europe', 'to', 'find', 'a', 'new', 'home.']",2026-01-07,Greenland 2: Migration
"['Animation', 'Comedy', 'Adventure', 'Family', 'Mystery']",1084242,en,"['After', 'cracking', 'the', 'biggest', 'case', 'in', ""Zootopia's"", 'history,', 'rookie', 'cops', 'Judy', 'Hopps', 'and', 'Nick', 'Wilde', 'find', 'themselves', 'on', 'the', 'twisting', 'trail', 'of', 'a', 'great', 'mystery', 'when', 'Gary', ""De'Snake"", 'arrives', 'and', 'turns', 'the', 'animal', 'metropolis', 'upside', 'down.', 'To', 'crack', 'the', 'case,', 'Judy', 'and', 'Nick', 'must', 'go', 'undercover', 'to', 'unexpected', 'new', 'parts', 'of', 'town,', 'where', 'their', 'growing', 'partnership', 'is', 'tested', 'like', 'never', 'before.']",2025-11-26,Zootopia 2
"['Action', 'Crime', 'Drama', 'Thriller']",1419406,zh,"['Macau', 'Police', 'brings', 'the', 'tracking', 'expert', 'police', 'officer', 'out', 'of', 'retirement', 'to', 'help', 'catch', 'a', 'dangerous', 'group', 'of', 'professional', 'thieves.']",2025-08-16,The Shadow's Edge
"['Mystery', 'Thriller']",1368166,en,"['Trying', 'to', 'escape', 'her', 'past,', 'Millie', 'Calloway', 'accepts', 'a', 'job', 'as', 'a', 'live-in', 'housemaid', 'for', 'the', 'wealthy', 'Nina', 'and', 'Andrew', 'Winchester.', 'But', 'what', 'begins', 'as', 'a', 'dream', 'job', 'quickly', 'unravels', 'into', 'something', 'far', 'more', 'dangerous—a', 'sexy,', 'seductive', 'game', 'of', 'secrets,', 'scandal,', 'and', 'power.']",2025-12-18,The Housemaid
"['Action', 'Crime', 'Thriller']",1601243,en,"['After', 'retiring', 'from', 'the', 'police', 'force,', 'a', 'relentless', 'detective', 'haunted', 'by', 'the', 'tragic', 'loss', 'of', 'his', 'closest', 'friend', 'sets', 'out', 'on', 'a', 'perilous', 'quest', 'for', 'vengeance,', 'seeking', 'redemption', 'and', 'fighting', 'to', 'restore', 'justice', 'to', 'the', 'streets', 'he', 'once', 'swore', 'to', 'protect.']",2026-01-09,Oscar Shaw
"['Action', 'Crime', 'Romance']",1271895,zh,"['Former', 'bomb', 'disposal', 'expert,', 'Song', 'Kang-Ren,', 'and', 'his', 'fiancée,', 'Huang', 'Xin,', 'board', 'a', 'high-speed', 'train', 'that', 'contains', 'a', 'bomb.', 'At', 'the', 'same', 'time,', 'Liu', 'Kai,', 'a', 'well-known', 'physics', 'teacher', 'who', 'was', 'involved', 'in', 'an', 'affair', 'scandal,', 'also', 'boards', 'this', 'same', 'train', 'in', 'order', 'to', 'win', 'back', 'his', 'wife,', 'Ting', 'Juan,', 'who', 'took', 'the', 'prior', 'high-speed', 'rail', 'to', 'return', 'home', 'in', 'frustration…', 'After', 'all,', 'can', 'the', 'bomb', 'be', 'successfully', 'defused', 'this', 'time?', 'and', 'resolve', 'the', 'crisis?']",2025-09-05,96 Minutes
"['Mystery', 'Thriller', 'Action']",1310568,en,"['1934.', 'Private', 'detective', 'Miranda', 'Green', 'investigates', 'a', 'murder', 'perpetrated', 'in', 'the', 'British', 'Embassy', 'in', 'Cairo,', 'where', 'a', 'top', 'secret', 'document', 'was', 'stolen,', 'risking', 'to', 'jeopardize', 'both', 'Buckingham', 'Palace', 'and', 'the', 'peace', 'of', 'the', 'world.', 'All', 'those', 'present', 'in', 'this', 'closed', 'place', 'are', 'suspected:', 'the', 'American', 'photographer,', 'the', 'English', 'student,', 'the', 'American', 'actress,', 'the', 'Egyptian', 'security', 'guard,', 'the', 'ambassador', 'interpreter,', 'the', 'Egyptian', 'gardener', 'and', '-', 'why', 'not?', '—', 'the', 'Ambassador', 'himself.', 'But', 'who', 'would', 'have', 'expected', 'that', 'a', 'small', 'group', 'of', 'Nazis', 'would', 'be', 'behind', 'a', 'plot,', 'risking', 'to', 'jeopardize', 'both', 'Buckingham', 'Palace', 'and', 'the', 'peace', 'of', 'the', 'world?']",2025-11-14,Murder at the Embassy
"['Adventure', 'Comedy', 'Horror']",1234731,en,"['A', 'group', 'of', 'friends', 'facing', 'mid-life', 'crises', 'head', 'to', 'the', 'rainforest', 'with', 'the', 'intention', 'of', 'remaking', 'their', 'favorite', 'movie', 'from', 'their', 'youth,', 'only', 'to', 'find', 'themselves', 'in', 'a', 'fight', 'for', 'their', 'lives', 'against', 'natural', 'disasters,', 'giant', 'snakes', 'and', 'violent', 'criminals.']",2025-12-24,Anaconda
['Action'],1584215,en,"['A', 'CIA-trained', 'assassin', 'recruits', 'other', 'graduates', 'from', 'her', 'secret', 'childhood', 'program,', 'The', 'Internship,', 'to', 'violently', 'destroy', 'the', 'organization.', 'The', 'CIA', 'fights', 'back', 'with', 'deadly', 'force.']",2026-01-13,The Internship
